Sorszám,szó,hossz
1,ha,2
2,hé,2
3,hí,2
4,hm,2
5,hó,2
6,hő,2
7,hú,2
8,hű,2
9,hab,3
10,had,3
11,hág,3
12,hah,3
13,haj,3
14,háj,3
15,hal,3
16,hál,3
17,hám,3
18,has,3
19,hat,3
20,hát,3
21,ház,3
22,heg,3
23,heh,3
24,hej,3
25,héj,3
26,hét,3
27,hév,3
28,híd,3
29,híg,3
30,hím,3
31,hír,3
32,hit,3
33,hiú,3
34,hív,3
35,hja,3
36,hmm,3
37,hód,3
38,hol,3
39,hon,3
40,hón,3
41,hoz,3
42,hők,3
43,hőn,3
44,hős,3
45,húg,3
46,huj,3
47,hun,3
48,húr,3
49,hús,3
50,húz,3
51,hűl,3
52,hűs,3
53,hűt,3
54,hadd,4
55,hadi,4
56,hágó,4
57,hagy,4
58,hahó,4
59,hajó,4
60,hajt,4
61,hajú,4
62,hála,4
63,hali,4
64,halk,4
65,hall,4
66,haló,4
67,háló,4
68,hamm,4
69,hamu,4
70,hamv,4
71,hang,4
72,hant,4
73,hánt,4
74,hány,4
75,harc,4
76,hárs,4
77,hasé,4
78,hasi,4
79,háti,4
80,ható,4
81,hátú,4
82,havi,4
83,haza,4
84,házi,4
85,házú,4
86,hecc,4
87,hegy,4
88,héja,4
89,héjú,4
90,hekk,4
91,heló,4
92,hely,4
93,hepp,4
94,here,4
95,hess,4
96,heti,4
97,hiba,4
98,hifi,4
99,híja,4
100,hint,4
101,hírű,4
102,hisz,4
103,hiúz,4
104,hívó,4
105,hívő,4
106,hízó,4
107,hobó,4
108,hogy,4
109,hohó,4
110,hóka,4
111,hoki,4
112,hold,4
113,hólé,4
114,holt,4
115,honi,4
116,honn,4
117,hopp,4
118,hóra,4
119,hord,4
120,hova,4
121,hová,4
122,hozó,4
123,hősi,4
124,húgy,4
125,hukk,4
126,huny,4
127,huri,4
128,husi,4
129,huss,4
130,húsú,4
131,húsz,4
132,huta,4
133,húzó,4
134,hűha,4
135,hűhó,4
136,hűlt,4
137,hűtő,4
138,habán,5
139,habar,5
140,habár,5
141,habkő,5
142,habog,5
143,habos,5
144,hadar,5
145,hadfi,5
146,hadúr,5
147,hágat,5
148,haiku,5
149,hajas,5
150,hájas,5
151,hajaz,5
152,hájaz,5
153,hajdú,5
154,hajék,5
155,hajít,5
156,hajló,5
157,hajol,5
158,hajós,5
159,hajrá,5
160,hajtó,5
161,hajtű,5
162,hakni,5
163,hákog,5
164,halad,5
165,halál,5
166,hálál,5
167,halas,5
168,hálás,5
169,halef,5
170,hallé,5
171,halló,5
172,halma,5
173,halom,5
174,hálóz,5
175,halőr,5
176,halva,5
177,hamar,5
178,hámfa,5
179,hámfű,5
180,hámor,5
181,hámos,5
182,hámoz,5
183,hamus,5
184,háncs,5
185,hanem,5
186,hanga,5
187,hangú,5
188,hanta,5
189,hanti,5
190,hántó,5
191,hányó,5
192,hapci,5
193,hápog,5
194,hapsi,5
195,harag,5
196,harap,5
197,harci,5
198,hárem,5
199,hárfa,5
200,haris,5
201,hárít,5
202,három,5
203,hárul,5
204,hasáb,5
205,hasad,5
206,hasal,5
207,hasas,5
208,hasis,5
209,hasít,5
210,haskó,5
211,hasló,5
212,hátal,5
213,határ,5
214,hatás,5
215,hátas,5
216,hátha,5
217,hatol,5
218,hatos,5
219,hátra,5
220,hátsó,5
221,hátul,5
222,havas,5
223,havaz,5
224,haver,5
225,hazai,5
226,házal,5
227,házas,5
228,hazug,5
229,hebeg,5
230,héber,5
231,hébér,5
232,heged,5
233,heges,5
