Fixture,Optics,Wattage,Unit,Circuit,Channel,Groups,Patch,DMX Mode,DMX Channels,Layer,Focus,Filters,Gobos,Accessories,Purpose,Note,Weight,Location,Position X,Position Y,Position Z,Rotation X,Rotation Y,Rotation Z,Focus Pan,Focus Tilt,Invert Pan,Pan Start Limit,Pan End Limit,Invert Tilt,Tilt Start Limit,Tilt End Limit,Identifier,External Identifier
Martin MAC 250 Entour,"18,1°",326W,Mac700PB 1,,1,,A.13,16-Bit Mode,15,Default layer,,,,,,,"22,4kg",,0m,0m,0m,-0°,0°,0°,0°,0°,No,0°,0°,No,0°,0°,00000070-0000-0000-0000-000000000000,
Martin MAC 250 Entour,"18,1°",326W,Mac700PB 2,,2,,A.36,16-Bit Mode,15,Default layer,,,,,,,"22,4kg",,"0,5m",0m,0m,-0°,0°,0°,0°,0°,No,0°,0°,No,0°,0°,00000070-0000-0000-0000-000000000000,
Martin MAC 250 Entour,"18,1°",326W,Mac700PB 3,,3,,A.59,16-Bit Mode,15,Default layer,,,,,,,"22,4kg",,1m,0m,0m,-0°,0°,0°,0°,0°,No,0°,0°,No,0°,0°,00000070-0000-0000-0000-000000000000,
Martin MAC 250 Entour,"18,1°",326W,Mac700PB 4,,4,,A.82,16-Bit Mode,15,Default layer,,,,,,,"22,4kg",,"1,5m",0m,0m,-0°,0°,0°,0°,0°,No,0°,0°,No,0°,0°,00000070-0000-0000-0000-000000000000,
Martin MAC 250 Entour,"18,1°",326W,Mac700PB 5,,5,,A.105,16-Bit Mode,15,Default layer,,,,,,,"22,4kg",,2m,0m,0m,-0°,0°,0°,0°,0°,No,0°,0°,No,0°,0°,00000070-0000-0000-0000-000000000000,
Martin MAC 250 Entour,"18,1°",326W,Mac700PB 6,,6,,A.128,16-Bit Mode,15,Default layer,,,,,,,"22,4kg",,"2,5m",0m,0m,-0°,0°,0°,0°,0°,No,0°,0°,No,0°,0°,00000070-0000-0000-0000-000000000000,
Martin MAC 250 Entour,"18,1°",326W,Mac700PB 7,,7,,A.151,16-Bit Mode,15,Default layer,,,,,,,"22,4kg",,3m,0m,0m,-0°,0°,0°,0°,0°,No,0°,0°,No,0°,0°,00000070-0000-0000-0000-000000000000,
Martin MAC 250 Entour,"18,1°",326W,Mac700PB 8,,8,,A.174,16-Bit Mode,15,Default layer,,,,,,,"22,4kg",,"3,5m",0m,0m,-0°,0°,0°,0°,0°,No,0°,0°,No,0°,0°,00000070-0000-0000-0000-000000000000,
Martin MAC 250 Entour,"18,1°",326W,Mac700PB 9,,9,,A.197,16-Bit Mode,15,Default layer,,,,,,,"22,4kg",,4m,0m,0m,-0°,0°,0°,0°,0°,No,0°,0°,No,0°,0°,00000070-0000-0000-0000-000000000000,
Martin MAC 250 Entour,"18,1°",326W,Mac700PB 10,,10,,A.220,16-Bit Mode,15,Default layer,,,,,,,"22,4kg",,"4,5m",0m,0m,-0°,0°,0°,0°,0°,No,0°,0°,No,0°,0°,00000070-0000-0000-0000-000000000000,
Martin MAC 250 Entour,"18,1°",326W,Mac700PB 11,,11,,A.243,16-Bit Mode,15,Default layer,,,,,,,"22,4kg",,5m,0m,0m,-0°,0°,0°,0°,0°,No,0°,0°,No,0°,0°,00000070-0000-0000-0000-000000000000,
Martin MAC 250 Entour,"18,1°",326W,Mac700PB 12,,12,,A.266,16-Bit Mode,15,Default layer,,,,,,,"22,4kg",,"5,5m",0m,0m,-0°,0°,0°,0°,0°,No,0°,0°,No,0°,0°,00000070-0000-0000-0000-000000000000,
Martin MAC 250 Entour,"18,1°",326W,Mac700PB 13,,13,,A.289,16-Bit Mode,15,Default layer,,,,,,,"22,4kg",,6m,0m,0m,-0°,0°,0°,0°,0°,No,0°,0°,No,0°,0°,00000070-0000-0000-0000-000000000000,
Martin MAC 250 Entour,"18,1°",326W,Mac700PB 14,,14,,A.312,16-Bit Mode,15,Default layer,,,,,,,"22,4kg",,"6,5m",0m,0m,-0°,0°,0°,0°,0°,No,0°,0°,No,0°,0°,00000070-0000-0000-0000-000000000000,
Martin MAC 250 Entour,"18,1°",326W,Mac700PB 15,,15,,A.335,16-Bit Mode,15,Default layer,,,,,,,"22,4kg",,7m,0m,0m,-0°,0°,0°,0°,0°,No,0°,0°,No,0°,0°,00000070-0000-0000-0000-000000000000,
Martin MAC 250 Entour,"18,1°",326W,Mac700PB 16,,16,,A.358,16-Bit Mode,15,Default layer,,,,,,,"22,4kg",,"7,5m",0m,0m,-0°,0°,0°,0°,0°,No,0°,0°,No,0°,0°,00000070-0000-0000-0000-000000000000,
Generic Par 64,CP60,1000W,Dim 1,1,0,,A.1,Control,1,Default layer,,,,,,,"1,8kg",,8m,0m,0m,-0°,0°,0°,0°,0°,No,,,No,,,00000000-0000-0000-0000-000000000000,
Generic Par 64,CP60,1000W,Dim 2,2,0,,A.2,Control,1,Default layer,,,,,,,"1,8kg",,"8,5m",0m,0m,-0°,0°,0°,0°,0°,No,,,No,,,00000000-0000-0000-0000-000000000000,
