Fixture,Optics,Wattage,Unit,Circuit,Channel,Groups,Patch,DMX Mode,DMX Channles,Layer,Focus,Filters,Gobos,Accessories,Purpose,Note,Weight,Location,Position X,Position Y,Position Z,Rotation X,Rotation Y,Rotation Z,Focus,Pan,Focus Tilt,Invert Pan,Pan Start Limit,Pan End Limit,Invert Tilt,Tilt Start Limit,Tilt End Limit,Identifier,External Identifier
Martin MAC 250 Entour,"18,1°",326W,Martin MAC 250 Entour,,1,1,13,,,robotz Layer,,,,,,comment,"22,4kg",robotz,-5m,-5m,6m,0°,-0°,0°,0°,0°,No,0°,0°,No,0°,0°,No,,cb1d976e-0a86-497e-865c-278edb0c3cb1
Martin MAC 250 Entour,"18,1°",326W,Martin MAC 250 Entour,,2,1,36,,,robotz Layer,,,,,,comment,"22,4kg",robotz,-3.571m,-5m,6m,0°,-0°,0°,0°,0°,No,0°,0°,No,0°,0°,No,,cb1d976e-0a86-497e-865c-278edb0c3cb1
Martin MAC 250 Entour,"18,1°",326W,Martin MAC 250 Entour,,3,1,59,,,robotz Layer,,,,,,comment,"22,4kg",robotz,-2.143m,-5m,6m,0°,-0°,0°,0°,0°,No,0°,0°,No,0°,0°,No,,cb1d976e-0a86-497e-865c-278edb0c3cb1
Martin MAC 250 Entour,"18,1°",326W,Martin MAC 250 Entour,,4,1,82,,,robotz Layer,,,,,,comment,"22,4kg",robotz,-0.714m,-5m,6m,0°,-0°,0°,0°,0°,No,0°,0°,No,0°,0°,No,,cb1d976e-0a86-497e-865c-278edb0c3cb1
Martin MAC 250 Entour,"18,1°",326W,Martin MAC 250 Entour,,5,1,105,,,robotz Layer,,,,,,comment,"22,4kg",robotz,0.714m,-5m,6m,0°,-0°,0°,0°,0°,No,0°,0°,No,0°,0°,No,,cb1d976e-0a86-497e-865c-278edb0c3cb1
Martin MAC 250 Entour,"18,1°",326W,Martin MAC 250 Entour,,6,1,128,,,robotz Layer,,,,,,comment,"22,4kg",robotz,2.143m,-5m,6m,0°,-0°,0°,0°,0°,No,0°,0°,No,0°,0°,No,,cb1d976e-0a86-497e-865c-278edb0c3cb1
Martin MAC 250 Entour,"18,1°",326W,Martin MAC 250 Entour,,7,1,151,,,robotz Layer,,,,,,comment,"22,4kg",robotz,3.571m,-5m,6m,0°,-0°,0°,0°,0°,No,0°,0°,No,0°,0°,No,,cb1d976e-0a86-497e-865c-278edb0c3cb1
Martin MAC 250 Entour,"18,1°",326W,Martin MAC 250 Entour,,8,1,174,,,robotz Layer,,,,,,comment,"22,4kg",robotz,5m,-5m,6m,0°,-0°,0°,0°,0°,No,0°,0°,No,0°,0°,No,,cb1d976e-0a86-497e-865c-278edb0c3cb1
Martin MAC 250 Entour,"18,1°",326W,Martin MAC 250 Entour,,9,1,197,,,robotz Layer,,,,,,comment,"22,4kg",robotz,-5m,0m,6m,0°,-0°,0°,0°,0°,No,0°,0°,No,0°,0°,No,,cb1d976e-0a86-497e-865c-278edb0c3cb1
Martin MAC 250 Entour,"18,1°",326W,Martin MAC 250 Entour,,10,1,220,,,robotz Layer,,,,,,comment,"22,4kg",robotz,-3.571m,0m,6m,0°,-0°,0°,0°,0°,No,0°,0°,No,0°,0°,No,,cb1d976e-0a86-497e-865c-278edb0c3cb1
Martin MAC 250 Entour,"18,1°",326W,Martin MAC 250 Entour,,11,1,243,,,robotz Layer,,,,,,comment,"22,4kg",robotz,-2.143m,0m,6m,0°,-0°,0°,0°,0°,No,0°,0°,No,0°,0°,No,,cb1d976e-0a86-497e-865c-278edb0c3cb1
Martin MAC 250 Entour,"18,1°",326W,Martin MAC 250 Entour,,12,1,266,,,robotz Layer,,,,,,comment,"22,4kg",robotz,-0.714m,0m,6m,0°,-0°,0°,0°,0°,No,0°,0°,No,0°,0°,No,,cb1d976e-0a86-497e-865c-278edb0c3cb1
