Layer;Fix ID;Ch ID;Name;FixtureType;Patch;Color
"robotz";1;;"Mac700PB 1";"3 Mac 700 Profile Basic (3)";"1.013";ffffff
"robotz";2;;"Mac700PB 2";"3 Mac 700 Profile Basic (3)";"1.036";ffffff
"robotz";3;;"Mac700PB 3";"3 Mac 700 Profile Basic (3)";"1.059";ffffff
"robotz";4;;"Mac700PB 4";"3 Mac 700 Profile Basic (3)";"1.082";ffffff
"robotz";5;;"Mac700PB 5";"3 Mac 700 Profile Basic (3)";"1.105";ffffff
"robotz";6;;"Mac700PB 6";"3 Mac 700 Profile Basic (3)";"1.128";ffffff
"robotz";7;;"Mac700PB 7";"3 Mac 700 Profile Basic (3)";"1.151";ffffff
"robotz";8;;"Mac700PB 8";"3 Mac 700 Profile Basic (3)";"1.174";ffffff
"robotz";9;;"Mac700PB 9";"3 Mac 700 Profile Basic (3)";"1.197";ffffff
"robotz";10;;"Mac700PB 10";"3 Mac 700 Profile Basic (3)";"1.220";ffffff
"robotz";11;;"Mac700PB 11";"3 Mac 700 Profile Basic (3)";"1.243";ffffff
"robotz";12;;"Mac700PB 12";"3 Mac 700 Profile Basic (3)";"1.266";ffffff
"robotz";13;;"Mac700PB 13";"3 Mac 700 Profile Basic (3)";"1.289";ffffff
"robotz";14;;"Mac700PB 14";"3 Mac 700 Profile Basic (3)";"1.312";ffffff
"robotz";15;;"Mac700PB 15";"3 Mac 700 Profile Basic (3)";"1.335";ffffff
"robotz";16;;"Mac700PB 16";"3 Mac 700 Profile Basic (3)";"1.358";ffffff
"dimmerz";;1;"Dim 1";"2 Dimmer 00 (2)";"1.001";ff0000
"dimmerz";;2;"Dim 2";"2 Dimmer 00 (2)";"1.002";00a7ff
"dimmerz";;3;"Dim 3";"2 Dimmer 00 (2)";"1.003";ffffff
"dimmerz";;4;"Dim 4";"2 Dimmer 00 (2)";"1.004";ff0003
"dimmerz";;5;"Dim 5";"2 Dimmer 00 (2)";"1.005";00ecff
"dimmerz";;6;"Dim 6";"2 Dimmer 00 (2)";"1.006";ffffff
"dimmerz";;7;"Dim 7";"2 Dimmer 00 (2)";"1.007";ff0003
"dimmerz";;8;"Dim 8";"2 Dimmer 00 (2)";"1.008";00dcff
"dimmerz";;9;"Dim 9";"2 Dimmer 00 (2)";"1.009";ffffff
"dimmerz";;10;"Dim 10";"2 Dimmer 00 (2)";"1.010";ff0003
"dimmerz";;11;"Dim 11";"2 Dimmer 00 (2)";"1.011";00fff5
"dimmerz";;12;"Dim 12";"2 Dimmer 00 (2)";"1.012";ffffff
"nt";;13;"Dim 1";"2 Dimmer 00 (2)";"1.381";ffffff
"nt";;13;"Dim 1";"2 Dimmer 00 (2)";"(-)";ffffff
"nt";;13;"Dim 1";"2 Dimmer 00 (2)";"(-)";ffffff
"nt";;13;"Dim 1";"2 Dimmer 00 (2)";"(-)";ffffff
"nt";;13;"Dim 1";"2 Dimmer 00 (2)";"(-)";ffffff
"nt";;13;"Dim 1";"2 Dimmer 00 (2)";"(-)";ffffff
"nt";;13;"Dim 1";"2 Dimmer 00 (2)";"(-)";ffffff
"nt";;13;"Dim 1";"2 Dimmer 00 (2)";"(-)";ffffff
"nt";;13;"Dim 1";"2 Dimmer 00 (2)";"(-)";ffffff
"nt";;13;"Dim 1";"2 Dimmer 00 (2)";"(-)";ffffff
