Fixture,Optics,Wattage,Unit,Circuit,Channel,Groups,Patch,DMX Mode,DMX Channles,Layer,Focus,Filters,Gobos,Accessories,Purpose,Note,Weight,Location,Position X,Position Y,Position Z,Rotation X,Rotation Y,Rotation Z,Focus,Pan,Focus Tilt,Invert Pan,Pan Start Limit,Pan End Limit,Invert Tilt,Tilt Start Limit,Tilt End Limit,Identifier,External Identifier
S4LL QHI 1,0°,10W,S4LL QHI 1,,7,,73,1,1,utcak,,,,,,-,0.0kg,Location,-5m,-4m,0.3m,0°,-89.985°,0°,,0°,0°,No,0,0,No,0°,0°,f5da38b0-07db-4122-9d42-34b002a21049,
S4LL QHI 2,0°,10W,S4LL QHI 2,,8,,79,1,1,utcak,,,,,,-,0.0kg,Location,-5m,-4m,0.95m,0°,-89.985°,0°,,0°,0°,No,0,0,No,0°,0°,f5da38b0-07db-4122-9d42-34b002a21049,
S4LL QHI 3,0°,10W,S4LL QHI 3,,9,,85,1,1,utcak,,,,,,-,0.0kg,Location,-5m,-4m,1.6m,0°,-89.985°,0°,,0°,0°,No,0,0,No,0°,0°,f5da38b0-07db-4122-9d42-34b002a21049,
S4LL QHI 4,0°,10W,S4LL QHI 4,,10,,91,1,1,utcak,,,,,,-,0.0kg,Location,5m,-4m,0.3m,-0°,89.985°,-0°,,0°,0°,No,0,0,No,0°,0°,f5da38b0-07db-4122-9d42-34b002a21049,
S4LL QHI 5,0°,10W,S4LL QHI 5,,11,,97,1,1,utcak,,,,,,-,0.0kg,Location,5m,-4m,0.9m,-0°,89.985°,-0°,,0°,0°,No,0,0,No,0°,0°,f5da38b0-07db-4122-9d42-34b002a21049,
S4LL QHI 6,0°,10W,S4LL QHI 6,,12,,103,1,1,utcak,,,,,,-,0.0kg,Location,5m,-4m,1.5m,-0°,89.985°,-0°,,0°,0°,No,0,0,No,0°,0°,f5da38b0-07db-4122-9d42-34b002a21049,
S4LL QHI 7,0°,10W,S4LL QHI 7,,13,,109,1,1,utcak,,,,,,-,0.0kg,Location,-5m,0m,0.3m,0°,-89.985°,0°,,0°,0°,No,0,0,No,0°,0°,f5da38b0-07db-4122-9d42-34b002a21049,
S4LL QHI 8,0°,10W,S4LL QHI 8,,14,,115,1,1,utcak,,,,,,-,0.0kg,Location,-5m,0m,0.9m,0°,-89.985°,0°,,0°,0°,No,0,0,No,0°,0°,f5da38b0-07db-4122-9d42-34b002a21049,
S4LL QHI 9,0°,10W,S4LL QHI 9,,15,,121,1,1,utcak,,,,,,-,0.0kg,Location,-5m,0m,1.5m,0°,-89.985°,0°,,0°,0°,No,0,0,No,0°,0°,f5da38b0-07db-4122-9d42-34b002a21049,
S4LL QHI 10,0°,10W,S4LL QHI 10,,16,,127,1,1,utcak,,,,,,-,0.0kg,Location,5m,0m,0.3m,-0°,89.985°,-0°,,0°,0°,No,0,0,No,0°,0°,f5da38b0-07db-4122-9d42-34b002a21049,
