Fixture,Optics,Wattage,Unit,Circuit,Channel,Groups,Patch,DMX Mode,DMX Channels,Layer,Focus,Filters,Gobos,Accessories,Purpose,Note,Weight,Location,Position X,Position Y,Position Z,Rotation X,Rotation Y,Rotation Z,Focus Pan,Focus Tilt,Invert Pan,Pan Start Limit,Pan End Limit,Invert Tilt,Tilt Start Limit,Tilt End Limit,Identifier,External Identifier
ETC Source Four Zoom 25°-50°,750/230V,750W,S4LL QHI 1,,7,,A.73,Control,1,utcak,,,,,,-,"8,5kg",,-5m,-4m,"0,3m",-0°,"-90,0°",0°,-270°,89°,No,,,No,,,076BEAE3-CC81-483C-9F91-F717D85E845C,
ETC Source Four Zoom 25°-50°,750/230V,750W,S4LL QHI 2,,8,,A.79,Control,1,utcak,,,,,,-,"8,5kg",,-5m,-4m,"0,95m",-0°,"-90,0°",0°,-270°,89°,No,,,No,,,076BEAE3-CC81-483C-9F91-F717D85E845C,
ETC Source Four Zoom 25°-50°,750/230V,750W,S4LL QHI 3,,9,,A.85,Control,1,utcak,,,,,,-,"8,5kg",,-5m,-4m,"1,6m",-0°,"-90,0°",0°,-270°,89°,No,,,No,,,076BEAE3-CC81-483C-9F91-F717D85E845C,
ETC Source Four Zoom 25°-50°,750/230V,750W,S4LL QHI 4,,10,,A.91,Control,1,utcak,,,,,,-,"8,5kg",,5m,-4m,"0,3m",-0°,"90,0°",0°,-90°,89°,No,,,No,,,076BEAE3-CC81-483C-9F91-F717D85E845C,
ETC Source Four Zoom 25°-50°,750/230V,750W,S4LL QHI 5,,11,,A.97,Control,1,utcak,,,,,,-,"8,5kg",,5m,-4m,"0,9m",-0°,"90,0°",0°,-90°,89°,No,,,No,,,076BEAE3-CC81-483C-9F91-F717D85E845C,
ETC Source Four Zoom 25°-50°,750/230V,750W,S4LL QHI 6,,12,,A.103,Control,1,utcak,,,,,,-,"8,5kg",,5m,-4m,"1,5m",-0°,"90,0°",0°,-90°,89°,No,,,No,,,076BEAE3-CC81-483C-9F91-F717D85E845C,
ETC Source Four Zoom 25°-50°,750/230V,750W,S4LL QHI 7,,13,,A.109,Control,1,utcak,,,,,,-,"8,5kg",,-5m,0m,"0,3m",-0°,"-90,0°",0°,-270°,89°,No,,,No,,,076BEAE3-CC81-483C-9F91-F717D85E845C,
ETC Source Four Zoom 25°-50°,750/230V,750W,S4LL QHI 8,,14,,A.115,Control,1,utcak,,,,,,-,"8,5kg",,-5m,0m,"0,9m",-0°,"-90,0°",0°,-270°,89°,No,,,No,,,076BEAE3-CC81-483C-9F91-F717D85E845C,
ETC Source Four Zoom 25°-50°,750/230V,750W,S4LL QHI 9,,15,,A.121,Control,1,utcak,,,,,,-,"8,5kg",,-5m,0m,"1,5m",-0°,"-90,0°",0°,-270°,89°,No,,,No,,,076BEAE3-CC81-483C-9F91-F717D85E845C,
ETC Source Four Zoom 25°-50°,750/230V,750W,S4LL QHI 10,,16,,A.127,Control,1,utcak,,,,,,-,"8,5kg",,5m,0m,"0,3m",-0°,"90,0°",0°,-90°,89°,No,,,No,,,076BEAE3-CC81-483C-9F91-F717D85E845C,
