Fixture,Optics,Wattage,Unit,Circuit,Channel,Groups,Patch,DMX Mode,DMX Channles,Layer,Focus,Filters,Gobos,Accessories,Purpose,Note,Weight,Location,Position X,Position Y,Position Z,Rotation X,Rotation Y,Rotation Z,Focus,Pan,Focus Tilt,Invert Pan,Pan Start Limit,Pan End Limit,Invert Tilt,Tilt Start Limit,Tilt End Limit,Identifier,External Identifier
3 Mac 250+ Mode 2,0°,10W,Mac250+2 1,,1,,7,1,1,robotz,,,,,,-,0.0kg,Location,-5m,-3m,7m,0°,-0°,0°,,0°,0°,No,0,0,No,0°,0°,,bbc37fee-3449-427e-a126-bf729faf9083
3 Mac 250+ Mode 2,0°,10W,Mac250+2 2,,2,,18,1,1,robotz,,,,,,-,0.0kg,Location,-3m,-3m,7m,0°,-0°,0°,,0°,0°,No,0,0,No,0°,0°,,bbc37fee-3449-427e-a126-bf729faf9083
3 Mac 250+ Mode 2,0°,10W,Mac250+2 3,,3,,29,1,1,robotz,,,,,,-,0.0kg,Location,-1m,-3m,7m,0°,-0°,0°,,0°,0°,No,0,0,No,0°,0°,,bbc37fee-3449-427e-a126-bf729faf9083
3 Mac 250+ Mode 2,0°,10W,Mac250+2 4,,4,,40,1,1,robotz,,,,,,-,0.0kg,Location,1m,-3m,7m,0°,-0°,0°,,0°,0°,No,0,0,No,0°,0°,,bbc37fee-3449-427e-a126-bf729faf9083
3 Mac 250+ Mode 2,0°,10W,Mac250+2 5,,5,,51,1,1,robotz,,,,,,-,0.0kg,Location,3m,-3m,7m,0°,-0°,0°,,0°,0°,No,0,0,No,0°,0°,,bbc37fee-3449-427e-a126-bf729faf9083
3 Mac 250+ Mode 2,0°,10W,Mac250+2 6,,6,,62,1,1,robotz,,,,,,-,0.0kg,Location,5m,-3m,7m,0°,-0°,0°,,0°,0°,No,0,0,No,0°,0°,,bbc37fee-3449-427e-a126-bf729faf9083
2 Dimmer 00,CP60,1000W,Dim 1,,1,,1,1,1,dim,,,,,,-,1.8kg,Location,-5m,-10m,7m,45°,0°,-0°,,0°,0°,No,0,0,No,0°,0°,,3b80e80f-4042-4c4a-8bc1-21b210f4a247
2 Dimmer 00,CP60,1000W,Dim 2,,2,,2,1,1,dim,,,,,,-,1.8kg,Location,-3m,-10m,7m,45°,0°,-0°,,0°,0°,No,0,0,No,0°,0°,,3b80e80f-4042-4c4a-8bc1-21b210f4a247
2 Dimmer 00,CP60,1000W,Dim 3,,3,,3,1,1,dim,,,,,,-,1.8kg,Location,-1m,-10m,7m,45°,0°,-0°,,0°,0°,No,0,0,No,0°,0°,,3b80e80f-4042-4c4a-8bc1-21b210f4a247
2 Dimmer 00,CP60,1000W,Dim 4,,4,,4,1,1,dim,,,,,,-,1.8kg,Location,1m,-10m,7m,45°,0°,-0°,,0°,0°,No,0,0,No,0°,0°,,3b80e80f-4042-4c4a-8bc1-21b210f4a247
2 Dimmer 00,CP60,1000W,Dim 5,,5,,5,1,1,dim,,,,,,-,1.8kg,Location,3m,-10m,7m,45°,0°,-0°,,0°,0°,No,0,0,No,0°,0°,,3b80e80f-4042-4c4a-8bc1-21b210f4a247
2 Dimmer 00,CP60,1000W,Dim 6,,6,,6,1,1,dim,,,,,,-,1.8kg,Location,5m,-10m,7m,45°,0°,-0°,,0°,0°,No,0,0,No,0°,0°,,3b80e80f-4042-4c4a-8bc1-21b210f4a247
