#,Name,Start,End,Length
M1,elsobumm,15.000,,
M2,masodikbumm,41.271,,
M3,harmadikbumm,84.222,,
M4,negyedikbumm,106.012,,
M5,buli indul,123.904,,
M6,bummsok,130.231,,
M7,szeteses,135.358,,
M8,sz2,138.328,,
M9,sz3,140.504,,
M10,sz4,143.139,,
M11,kienged,146.456,,
M12,turu,149.144,,
M13,turu,150.317,,
M14,turu,151.608,,
M15,turu,152.920,,
M16,turu,154.424,,
M17,turu,155.576,,
M18,turu,156.909,,
M19,turu,158.221,,
M20,kienged,159.090,,
M21,feszul,163.350,,
M22,valt,165.024,,
M23,valt,166.421,,
M24,valt,167.648,,
M25,valt,168.875,,
M26,valt,170.080,,
M27, valt,171.520,,
M28,kilo,173.056,,
M29,kisszolo,175.310,,
M30,masodikisz,180.128,,
M31,zuhan,184.672,,
M32,lebeges,188.438,,
M33,trumm,194.158,,
M34,trumm,195.499,,
M35,tr,196.821,,
M36,tr,198.187,,
M37,tr,199.541,,
M38,tr,200.779,,
M39,tr,202.144,,
M40,tr,203.467,,
M41,tr,204.832,,
M42,tr,206.528,,
M43,kihuz,207.893,,
M44,kihuz,209.269,,
M45,lemegy,214.325,,
M46,meg,215.733,,
M47,meg,216.821,,
M48,meg,217.952,,
M49,masodik solo,219.343,,
M50,restz,222.088,,
M51,resz,225.042,,
M52,tillifel,226.922,,
M53,tillifel2,228.668,,
M54,tillifel3,231.879,,
M55,vissza,234.175,,
M56,v2,235.577,,
M57,v3,236.828,,
M58,v4,238.119,,
M59,v5,239.452,,
M60,v6,240.636,,
M61,v7,241.927,,
M62,v8,243.090,,
M63,v9,244.466,,
M64,tritritri,245.799,,
M65,v10,247.015,,
M66,tritri,248.370,,
M67,sorveg,249.447,,
M68,zuzfel,253.799,,
M69,megint zuz,255.748,,
M70,2z,257.244,,
M71,3z,259.911,,
M72,4z,262.300,,
M73,5z,263.474,,
M74,trim trim trim,264.967,,
M75,szedelges,269.785,,
M76,szedeleg 2,274.014,,
M77,sz3,276.082,,
M78,vissza,278.618,,
M79,v2,281.458,,
M80,v3,282.834,,
M81,finelott,286.450,,
M82,finale,288.418,,
M83,sötet,291.717,,
